difficulty,image_name,psnr,ssim,alignment
medium,medium_061_lr_tsrn.png,23.4592,0.5601,bicubic_to_hr
medium,medium_062_lr_tsrn.png,21.0232,0.6964,bicubic_to_hr
medium,medium_063_lr_tsrn.png,23.827,0.5788,bicubic_to_hr
medium,medium_064_lr_tsrn.png,21.814,0.7133,bicubic_to_hr
medium,medium_065_lr_tsrn.png,21.8128,0.6857,bicubic_to_hr
medium,medium_066_lr_tsrn.png,23.1789,0.5993,bicubic_to_hr
medium,medium_067_lr_tsrn.png,20.476,0.6655,bicubic_to_hr
medium,medium_068_lr_tsrn.png,22.6033,0.6065,bicubic_to_hr
medium,medium_069_lr_tsrn.png,21.2846,0.7322,bicubic_to_hr
medium,medium_070_lr_tsrn.png,24.672,0.6574,bicubic_to_hr
medium,medium_071_lr_tsrn.png,22.1004,0.7225,bicubic_to_hr
medium,medium_072_lr_tsrn.png,24.047,0.7184,bicubic_to_hr
medium,medium_073_lr_tsrn.png,21.2344,0.6195,bicubic_to_hr
medium,medium_074_lr_tsrn.png,23.3194,0.5201,bicubic_to_hr
medium,medium_075_lr_tsrn.png,21.9065,0.6707,bicubic_to_hr
medium,medium_076_lr_tsrn.png,23.0601,0.5417,bicubic_to_hr
medium,medium_077_lr_tsrn.png,22.6303,0.672,bicubic_to_hr
medium,medium_078_lr_tsrn.png,23.5801,0.6181,bicubic_to_hr
medium,medium_079_lr_tsrn.png,22.1327,0.6172,bicubic_to_hr
medium,medium_080_lr_tsrn.png,23.6993,0.5523,bicubic_to_hr
medium,medium_081_lr_tsrn.png,19.1718,0.6171,bicubic_to_hr
medium,medium_082_lr_tsrn.png,24.0986,0.6382,bicubic_to_hr
medium,medium_083_lr_tsrn.png,21.8428,0.6627,bicubic_to_hr
medium,medium_084_lr_tsrn.png,22.1242,0.478,bicubic_to_hr
medium,medium_085_lr_tsrn.png,21.6869,0.6948,bicubic_to_hr
medium,medium_086_lr_tsrn.png,23.7653,0.7107,bicubic_to_hr
medium,medium_087_lr_tsrn.png,22.7799,0.5873,bicubic_to_hr
medium,medium_088_lr_tsrn.png,21.8599,0.6735,bicubic_to_hr
medium,medium_089_lr_tsrn.png,21.2627,0.694,bicubic_to_hr
medium,medium_090_lr_tsrn.png,19.9188,0.5781,bicubic_to_hr
medium,medium_091_lr_tsrn.png,20.7827,0.7046,bicubic_to_hr
medium,medium_092_lr_tsrn.png,23.6995,0.6416,bicubic_to_hr
medium,medium_093_lr_tsrn.png,23.9305,0.7045,bicubic_to_hr
medium,medium_094_lr_tsrn.png,23.3397,0.519,bicubic_to_hr
medium,medium_095_lr_tsrn.png,23.2514,0.6832,bicubic_to_hr
medium,medium_096_lr_tsrn.png,25.9202,0.7027,bicubic_to_hr
medium,medium_097_lr_tsrn.png,19.837,0.718,bicubic_to_hr
medium,medium_098_lr_tsrn.png,23.9727,0.6787,bicubic_to_hr
medium,medium_099_lr_tsrn.png,23.0851,0.7201,bicubic_to_hr
medium,medium_100_lr_tsrn.png,24.1922,0.6849,bicubic_to_hr
hard,hard_001_lr_tsrn.png,22.2977,0.668,bicubic_to_hr
hard,hard_002_lr_tsrn.png,21.7844,0.7299,bicubic_to_hr
hard,hard_003_lr_tsrn.png,20.1782,0.669,bicubic_to_hr
hard,hard_004_lr_tsrn.png,16.4377,0.6043,bicubic_to_hr
hard,hard_005_lr_tsrn.png,22.5157,0.6391,bicubic_to_hr
hard,hard_006_lr_tsrn.png,21.5642,0.7129,bicubic_to_hr
hard,hard_007_lr_tsrn.png,19.5181,0.5693,bicubic_to_hr
hard,hard_008_lr_tsrn.png,19.9222,0.5653,bicubic_to_hr
hard,hard_009_lr_tsrn.png,22.0556,0.7376,bicubic_to_hr
hard,hard_010_lr_tsrn.png,18.7223,0.5308,bicubic_to_hr
hard,hard_011_lr_tsrn.png,24.6376,0.8205,bicubic_to_hr
hard,hard_012_lr_tsrn.png,19.4677,0.5408,bicubic_to_hr
hard,hard_013_lr_tsrn.png,22.3135,0.7079,bicubic_to_hr
hard,hard_014_lr_tsrn.png,20.2154,0.5774,bicubic_to_hr
hard,hard_015_lr_tsrn.png,18.349,0.5443,bicubic_to_hr
hard,hard_016_lr_tsrn.png,23.8294,0.8036,bicubic_to_hr
hard,hard_017_lr_tsrn.png,23.8478,0.8089,bicubic_to_hr
hard,hard_018_lr_tsrn.png,21.549,0.749,bicubic_to_hr
hard,hard_019_lr_tsrn.png,19.2109,0.663,bicubic_to_hr
hard,hard_020_lr_tsrn.png,19.204,0.7152,bicubic_to_hr
hard,hard_021_lr_tsrn.png,20.0136,0.6875,bicubic_to_hr
hard,hard_022_lr_tsrn.png,20.9297,0.7411,bicubic_to_hr
hard,hard_023_lr_tsrn.png,20.7551,0.7362,bicubic_to_hr
hard,hard_024_lr_tsrn.png,21.7133,0.7973,bicubic_to_hr
hard,hard_025_lr_tsrn.png,21.805,0.7521,bicubic_to_hr
hard,hard_026_lr_tsrn.png,16.193,0.6881,bicubic_to_hr
hard,hard_027_lr_tsrn.png,20.4165,0.7552,bicubic_to_hr
hard,hard_028_lr_tsrn.png,18.5516,0.7275,bicubic_to_hr
hard,hard_029_lr_tsrn.png,22.2237,0.7089,bicubic_to_hr
hard,hard_030_lr_tsrn.png,22.5044,0.7573,bicubic_to_hr
hard,hard_031_lr_tsrn.png,18.1125,0.5916,bicubic_to_hr
hard,hard_032_lr_tsrn.png,23.7571,0.7257,bicubic_to_hr
hard,hard_033_lr_tsrn.png,20.5458,0.7539,bicubic_to_hr
hard,hard_034_lr_tsrn.png,24.3691,0.7178,bicubic_to_hr
hard,hard_035_lr_tsrn.png,21.0678,0.666,bicubic_to_hr
hard,hard_036_lr_tsrn.png,18.6573,0.5931,bicubic_to_hr
hard,hard_037_lr_tsrn.png,21.76,0.7371,bicubic_to_hr
hard,hard_038_lr_tsrn.png,19.2562,0.5773,bicubic_to_hr
hard,hard_039_lr_tsrn.png,16.0375,0.6864,bicubic_to_hr
hard,hard_040_lr_tsrn.png,22.5753,0.6256,bicubic_to_hr
hard,hard_041_lr_tsrn.png,23.0168,0.6744,bicubic_to_hr
hard,hard_042_lr_tsrn.png,14.7683,0.6183,bicubic_to_hr
hard,hard_043_lr_tsrn.png,18.5748,0.6529,bicubic_to_hr
hard,hard_044_lr_tsrn.png,17.9921,0.5884,bicubic_to_hr
hard,hard_045_lr_tsrn.png,23.166,0.6702,bicubic_to_hr
hard,hard_046_lr_tsrn.png,20.8553,0.6966,bicubic_to_hr
hard,hard_047_lr_tsrn.png,18.1588,0.5953,bicubic_to_hr
hard,hard_048_lr_tsrn.png,19.223,0.6205,bicubic_to_hr
hard,hard_049_lr_tsrn.png,17.2483,0.6573,bicubic_to_hr
hard,hard_050_lr_tsrn.png,24.8903,0.735,bicubic_to_hr
hard,hard_051_lr_tsrn.png,23.2057,0.7228,bicubic_to_hr
hard,hard_052_lr_tsrn.png,21.7359,0.6105,bicubic_to_hr
hard,hard_053_lr_tsrn.png,19.5972,0.58,bicubic_to_hr
hard,hard_054_lr_tsrn.png,19.9251,0.7159,bicubic_to_hr
hard,hard_055_lr_tsrn.png,20.4902,0.7044,bicubic_to_hr
hard,hard_056_lr_tsrn.png,18.6089,0.5754,bicubic_to_hr
hard,hard_057_lr_tsrn.png,18.2783,0.7023,bicubic_to_hr
hard,hard_058_lr_tsrn.png,18.0357,0.6696,bicubic_to_hr
hard,hard_059_lr_tsrn.png,18.9213,0.6186,bicubic_to_hr
hard,hard_060_lr_tsrn.png,23.1487,0.7096,bicubic_to_hr
hard,hard_061_lr_tsrn.png,21.1306,0.7016,bicubic_to_hr
hard,hard_062_lr_tsrn.png,19.9589,0.6215,bicubic_to_hr
hard,hard_063_lr_tsrn.png,19.9115,0.6196,bicubic_to_hr
hard,hard_064_lr_tsrn.png,23.9795,0.6924,bicubic_to_hr
hard,hard_065_lr_tsrn.png,24.7273,0.6821,bicubic_to_hr
hard,hard_066_lr_tsrn.png,26.0202,0.7161,bicubic_to_hr
hard,hard_067_lr_tsrn.png,22.3275,0.7333,bicubic_to_hr
hard,hard_068_lr_tsrn.png,24.4196,0.7246,bicubic_to_hr
hard,hard_069_lr_tsrn.png,19.4145,0.7524,bicubic_to_hr
hard,hard_070_lr_tsrn.png,21.8414,0.6085,bicubic_to_hr
hard,hard_071_lr_tsrn.png,22.3212,0.701,bicubic_to_hr
hard,hard_072_lr_tsrn.png,24.0585,0.681,bicubic_to_hr
hard,hard_073_lr_tsrn.png,21.2602,0.6493,bicubic_to_hr
hard,hard_074_lr_tsrn.png,20.0765,0.4771,bicubic_to_hr
hard,hard_075_lr_tsrn.png,21.9224,0.557,bicubic_to_hr
hard,hard_076_lr_tsrn.png,21.7275,0.8128,bicubic_to_hr
hard,hard_077_lr_tsrn.png,16.631,0.5575,bicubic_to_hr
hard,hard_078_lr_tsrn.png,17.5817,0.5095,bicubic_to_hr
hard,hard_079_lr_tsrn.png,22.025,0.5979,bicubic_to_hr
hard,hard_080_lr_tsrn.png,17.3935,0.6614,bicubic_to_hr
hard,hard_081_lr_tsrn.png,19.8538,0.5912,bicubic_to_hr
hard,hard_082_lr_tsrn.png,22.3224,0.6095,bicubic_to_hr
hard,hard_083_lr_tsrn.png,21.2989,0.5947,bicubic_to_hr
hard,hard_084_lr_tsrn.png,19.087,0.5634,bicubic_to_hr
hard,hard_085_lr_tsrn.png,19.6769,0.5699,bicubic_to_hr
hard,hard_086_lr_tsrn.png,23.9987,0.6282,bicubic_to_hr
hard,hard_087_lr_tsrn.png,26.0341,0.6869,bicubic_to_hr
hard,hard_088_lr_tsrn.png,24.0558,0.6291,bicubic_to_hr
hard,hard_089_lr_tsrn.png,23.1851,0.597,bicubic_to_hr
hard,hard_090_lr_tsrn.png,25.273,0.6749,bicubic_to_hr
hard,hard_091_lr_tsrn.png,17.8979,0.5062,bicubic_to_hr
hard,hard_092_lr_tsrn.png,20.9557,0.5415,bicubic_to_hr
hard,hard_093_lr_tsrn.png,20.7046,0.6149,bicubic_to_hr
hard,hard_094_lr_tsrn.png,20.9834,0.6488,bicubic_to_hr
hard,hard_095_lr_tsrn.png,21.172,0.5924,bicubic_to_hr
hard,hard_096_lr_tsrn.png,19.8325,0.5199,bicubic_to_hr
hard,hard_097_lr_tsrn.png,20.0505,0.6373,bicubic_to_hr
hard,hard_098_lr_tsrn.png,19.5594,0.7532,bicubic_to_hr
hard,hard_099_lr_tsrn.png,19.0531,0.6248,bicubic_to_hr
hard,hard_100_lr_tsrn.png,19.8376,0.6729,bicubic_to_hr
