difficulty,index,method,psnr,ssim,preparation,reference_size,candidate_size
easy,61,tsrn,27.059,0.913,canonical_128x32,128x32,128x32
easy,62,bicubic,24.508,0.7496,64x16_bicubic_to_128x32,128x32,128x32
easy,62,realesrgan,21.153,0.6806,canonical_128x32,128x32,128x32
easy,62,tsrn,28.082,0.9131,canonical_128x32,128x32,128x32
easy,63,bicubic,24.7698,0.7434,64x16_bicubic_to_128x32,128x32,128x32
easy,63,realesrgan,20.613,0.6137,canonical_128x32,128x32,128x32
easy,63,tsrn,28.8176,0.891,canonical_128x32,128x32,128x32
easy,64,bicubic,24.8675,0.741,64x16_bicubic_to_128x32,128x32,128x32
easy,64,realesrgan,20.5283,0.5809,canonical_128x32,128x32,128x32
easy,64,tsrn,27.0044,0.8317,canonical_128x32,128x32,128x32
easy,65,bicubic,26.441,0.7641,64x16_bicubic_to_128x32,128x32,128x32
easy,65,realesrgan,21.8843,0.5338,canonical_128x32,128x32,128x32
easy,65,tsrn,26.1305,0.8186,canonical_128x32,128x32,128x32
easy,66,bicubic,30.7621,0.7998,64x16_bicubic_to_128x32,128x32,128x32
easy,66,realesrgan,28.2041,0.7038,canonical_128x32,128x32,128x32
easy,66,tsrn,26.2662,0.7545,canonical_128x32,128x32,128x32
easy,67,bicubic,32.3944,0.825,64x16_bicubic_to_128x32,128x32,128x32
easy,67,realesrgan,27.8194,0.6475,canonical_128x32,128x32,128x32
easy,67,tsrn,30.6817,0.7933,canonical_128x32,128x32,128x32
easy,68,bicubic,32.4587,0.8543,64x16_bicubic_to_128x32,128x32,128x32
easy,68,realesrgan,27.6201,0.6189,canonical_128x32,128x32,128x32
easy,68,tsrn,28.9107,0.8317,canonical_128x32,128x32,128x32
easy,69,bicubic,28.5839,0.771,64x16_bicubic_to_128x32,128x32,128x32
easy,69,realesrgan,25.1787,0.5801,canonical_128x32,128x32,128x32
easy,69,tsrn,28.278,0.7844,canonical_128x32,128x32,128x32
easy,70,bicubic,24.2181,0.7323,64x16_bicubic_to_128x32,128x32,128x32
easy,70,realesrgan,21.1449,0.5936,canonical_128x32,128x32,128x32
easy,70,tsrn,25.841,0.8082,canonical_128x32,128x32,128x32
easy,71,bicubic,24.2471,0.576,64x16_bicubic_to_128x32,128x32,128x32
easy,71,realesrgan,24.2173,0.595,canonical_128x32,128x32,128x32
easy,71,tsrn,24.8531,0.688,canonical_128x32,128x32,128x32
easy,72,bicubic,23.4556,0.5421,64x16_bicubic_to_128x32,128x32,128x32
easy,72,realesrgan,23.337,0.5403,canonical_128x32,128x32,128x32
easy,72,tsrn,23.7533,0.7395,canonical_128x32,128x32,128x32
easy,73,bicubic,25.0432,0.6237,64x16_bicubic_to_128x32,128x32,128x32
easy,73,realesrgan,23.9778,0.6821,canonical_128x32,128x32,128x32
easy,73,tsrn,25.6172,0.6908,canonical_128x32,128x32,128x32
easy,74,bicubic,23.974,0.5806,64x16_bicubic_to_128x32,128x32,128x32
easy,74,realesrgan,23.6103,0.5904,canonical_128x32,128x32,128x32
easy,74,tsrn,23.1372,0.69,canonical_128x32,128x32,128x32
easy,75,bicubic,26.2253,0.6347,64x16_bicubic_to_128x32,128x32,128x32
easy,75,realesrgan,26.3584,0.6369,canonical_128x32,128x32,128x32
easy,75,tsrn,27.0016,0.7036,canonical_128x32,128x32,128x32
easy,76,bicubic,25.6508,0.6353,64x16_bicubic_to_128x32,128x32,128x32
easy,76,realesrgan,25.7818,0.6469,canonical_128x32,128x32,128x32
easy,76,tsrn,27.0578,0.7414,canonical_128x32,128x32,128x32
easy,77,bicubic,28.1579,0.7032,64x16_bicubic_to_128x32,128x32,128x32
easy,77,realesrgan,27.5084,0.6849,canonical_128x32,128x32,128x32
easy,77,tsrn,23.881,0.7042,canonical_128x32,128x32,128x32
easy,78,bicubic,27.5601,0.6727,64x16_bicubic_to_128x32,128x32,128x32
easy,78,realesrgan,27.4865,0.6627,canonical_128x32,128x32,128x32
easy,78,tsrn,26.7111,0.6691,canonical_128x32,128x32,128x32
easy,79,bicubic,31.4109,0.7726,64x16_bicubic_to_128x32,128x32,128x32
easy,79,realesrgan,31.3915,0.7467,canonical_128x32,128x32,128x32
easy,79,tsrn,28.5224,0.7466,canonical_128x32,128x32,128x32
easy,80,bicubic,30.5464,0.7735,64x16_bicubic_to_128x32,128x32,128x32
easy,80,realesrgan,30.4929,0.7514,canonical_128x32,128x32,128x32
easy,80,tsrn,30.5074,0.8065,canonical_128x32,128x32,128x32
easy,81,bicubic,23.4536,0.6082,64x16_bicubic_to_128x32,128x32,128x32
easy,81,realesrgan,20.4842,0.6216,canonical_128x32,128x32,128x32
easy,81,tsrn,29.3994,0.9073,canonical_128x32,128x32,128x32
easy,82,bicubic,25.5866,0.6992,64x16_bicubic_to_128x32,128x32,128x32
easy,82,realesrgan,23.0266,0.6688,canonical_128x32,128x32,128x32
easy,82,tsrn,25.1221,0.8301,canonical_128x32,128x32,128x32
easy,83,bicubic,24.3515,0.6366,64x16_bicubic_to_128x32,128x32,128x32
easy,83,realesrgan,23.2863,0.6255,canonical_128x32,128x32,128x32
easy,83,tsrn,27.9636,0.8554,canonical_128x32,128x32,128x32
easy,84,bicubic,23.0251,0.594,64x16_bicubic_to_128x32,128x32,128x32
easy,84,realesrgan,22.6587,0.5939,canonical_128x32,128x32,128x32
easy,84,tsrn,26.9906,0.8639,canonical_128x32,128x32,128x32
easy,85,bicubic,28.7392,0.7694,64x16_bicubic_to_128x32,128x32,128x32
easy,85,realesrgan,27.8099,0.7383,canonical_128x32,128x32,128x32
easy,85,tsrn,26.8713,0.8233,canonical_128x32,128x32,128x32
easy,86,bicubic,29.27,0.7598,64x16_bicubic_to_128x32,128x32,128x32
easy,86,realesrgan,27.9292,0.6793,canonical_128x32,128x32,128x32
easy,86,tsrn,24.3838,0.7764,canonical_128x32,128x32,128x32
easy,87,bicubic,32.4443,0.8336,64x16_bicubic_to_128x32,128x32,128x32
easy,87,realesrgan,31.5256,0.8081,canonical_128x32,128x32,128x32
easy,87,tsrn,26.8377,0.7556,canonical_128x32,128x32,128x32
easy,88,bicubic,26.5752,0.6916,64x16_bicubic_to_128x32,128x32,128x32
easy,88,realesrgan,24.9567,0.6417,canonical_128x32,128x32,128x32
