difficulty,image_name,psnr,ssim,alignment
medium,medium_047_lr_sr.png,21.1884,0.5644,bicubic_to_hr
medium,medium_048_lr_sr.png,17.0637,0.5595,bicubic_to_hr
medium,medium_049_lr_sr.png,20.7952,0.5274,bicubic_to_hr
medium,medium_050_lr_sr.png,16.1023,0.5232,bicubic_to_hr
medium,medium_051_lr_sr.png,16.4871,0.6088,bicubic_to_hr
medium,medium_052_lr_sr.png,19.9435,0.5493,bicubic_to_hr
medium,medium_053_lr_sr.png,16.5464,0.5407,bicubic_to_hr
medium,medium_054_lr_sr.png,20.4013,0.5197,bicubic_to_hr
medium,medium_055_lr_sr.png,16.3782,0.5467,bicubic_to_hr
medium,medium_056_lr_sr.png,20.4912,0.5843,bicubic_to_hr
medium,medium_057_lr_sr.png,16.4906,0.5633,bicubic_to_hr
medium,medium_058_lr_sr.png,20.6089,0.5807,bicubic_to_hr
medium,medium_059_lr_sr.png,17.2026,0.564,bicubic_to_hr
medium,medium_060_lr_sr.png,16.6036,0.561,bicubic_to_hr
medium,medium_061_lr_sr.png,20.7826,0.5268,bicubic_to_hr
medium,medium_062_lr_sr.png,16.6188,0.5602,bicubic_to_hr
medium,medium_063_lr_sr.png,20.3797,0.5336,bicubic_to_hr
medium,medium_064_lr_sr.png,16.7745,0.5965,bicubic_to_hr
medium,medium_065_lr_sr.png,16.7399,0.5707,bicubic_to_hr
medium,medium_066_lr_sr.png,20.4367,0.5314,bicubic_to_hr
medium,medium_067_lr_sr.png,16.9421,0.5334,bicubic_to_hr
medium,medium_068_lr_sr.png,20.7946,0.5357,bicubic_to_hr
medium,medium_069_lr_sr.png,16.5475,0.5924,bicubic_to_hr
medium,medium_070_lr_sr.png,20.0081,0.5458,bicubic_to_hr
medium,medium_071_lr_sr.png,16.7058,0.6038,bicubic_to_hr
medium,medium_072_lr_sr.png,20.7704,0.5346,bicubic_to_hr
medium,medium_073_lr_sr.png,16.571,0.4994,bicubic_to_hr
medium,medium_074_lr_sr.png,20.4101,0.483,bicubic_to_hr
medium,medium_075_lr_sr.png,16.7617,0.5657,bicubic_to_hr
medium,medium_076_lr_sr.png,20.5615,0.5259,bicubic_to_hr
medium,medium_077_lr_sr.png,16.3802,0.5605,bicubic_to_hr
medium,medium_078_lr_sr.png,20.471,0.5397,bicubic_to_hr
medium,medium_079_lr_sr.png,16.4272,0.5224,bicubic_to_hr
medium,medium_080_lr_sr.png,20.6979,0.5195,bicubic_to_hr
medium,medium_081_lr_sr.png,16.4067,0.5248,bicubic_to_hr
medium,medium_082_lr_sr.png,20.9334,0.5634,bicubic_to_hr
medium,medium_083_lr_sr.png,16.2278,0.5488,bicubic_to_hr
medium,medium_084_lr_sr.png,20.2434,0.4835,bicubic_to_hr
medium,medium_085_lr_sr.png,16.4687,0.504,bicubic_to_hr
medium,medium_086_lr_sr.png,16.1477,0.5825,bicubic_to_hr
medium,medium_087_lr_sr.png,19.922,0.5034,bicubic_to_hr
medium,medium_088_lr_sr.png,16.4202,0.586,bicubic_to_hr
medium,medium_089_lr_sr.png,16.7567,0.5977,bicubic_to_hr
medium,medium_090_lr_sr.png,20.2203,0.5422,bicubic_to_hr
medium,medium_091_lr_sr.png,16.6712,0.5874,bicubic_to_hr
medium,medium_092_lr_sr.png,20.1754,0.5376,bicubic_to_hr
medium,medium_093_lr_sr.png,16.483,0.5264,bicubic_to_hr
medium,medium_094_lr_sr.png,20.4223,0.5182,bicubic_to_hr
medium,medium_095_lr_sr.png,17.0857,0.5288,bicubic_to_hr
medium,medium_096_lr_sr.png,20.575,0.5737,bicubic_to_hr
medium,medium_097_lr_sr.png,16.6606,0.6578,bicubic_to_hr
medium,medium_098_lr_sr.png,20.624,0.6289,bicubic_to_hr
medium,medium_099_lr_sr.png,16.2028,0.6262,bicubic_to_hr
medium,medium_100_lr_sr.png,20.0311,0.5393,bicubic_to_hr
hard,hard_001_lr_sr.png,18.2527,0.585,bicubic_to_hr
hard,hard_002_lr_sr.png,23.5783,0.7296,bicubic_to_hr
hard,hard_003_lr_sr.png,22.8533,0.6884,bicubic_to_hr
hard,hard_004_lr_sr.png,21.3885,0.6587,bicubic_to_hr
hard,hard_005_lr_sr.png,23.2046,0.6723,bicubic_to_hr
hard,hard_006_lr_sr.png,17.7415,0.4827,bicubic_to_hr
hard,hard_007_lr_sr.png,17.0518,0.4278,bicubic_to_hr
hard,hard_008_lr_sr.png,19.7579,0.4874,bicubic_to_hr
hard,hard_009_lr_sr.png,19.224,0.575,bicubic_to_hr
hard,hard_010_lr_sr.png,16.5177,0.3825,bicubic_to_hr
hard,hard_011_lr_sr.png,20.3786,0.5205,bicubic_to_hr
hard,hard_012_lr_sr.png,16.5752,0.4003,bicubic_to_hr
hard,hard_013_lr_sr.png,18.9303,0.5379,bicubic_to_hr
hard,hard_014_lr_sr.png,17.5821,0.4596,bicubic_to_hr
hard,hard_015_lr_sr.png,19.7527,0.4903,bicubic_to_hr
hard,hard_016_lr_sr.png,22.3551,0.7086,bicubic_to_hr
hard,hard_017_lr_sr.png,20.7605,0.6285,bicubic_to_hr
hard,hard_018_lr_sr.png,20.4874,0.6889,bicubic_to_hr
hard,hard_019_lr_sr.png,18.3932,0.5208,bicubic_to_hr
hard,hard_020_lr_sr.png,23.9008,0.7772,bicubic_to_hr
hard,hard_021_lr_sr.png,18.0659,0.509,bicubic_to_hr
hard,hard_022_lr_sr.png,23.8516,0.7389,bicubic_to_hr
hard,hard_023_lr_sr.png,21.95,0.7464,bicubic_to_hr
hard,hard_024_lr_sr.png,23.9552,0.7276,bicubic_to_hr
hard,hard_025_lr_sr.png,23.5954,0.7642,bicubic_to_hr
hard,hard_026_lr_sr.png,22.2585,0.7665,bicubic_to_hr
hard,hard_027_lr_sr.png,23.5863,0.7406,bicubic_to_hr
hard,hard_028_lr_sr.png,22.7331,0.7923,bicubic_to_hr
hard,hard_029_lr_sr.png,23.7011,0.7438,bicubic_to_hr
hard,hard_030_lr_sr.png,25.2779,0.8151,bicubic_to_hr
hard,hard_031_lr_sr.png,18.928,0.5831,bicubic_to_hr
hard,hard_032_lr_sr.png,25.3136,0.7465,bicubic_to_hr
hard,hard_033_lr_sr.png,25.5016,0.7787,bicubic_to_hr
hard,hard_034_lr_sr.png,25.292,0.7676,bicubic_to_hr
hard,hard_035_lr_sr.png,19.4173,0.6053,bicubic_to_hr
hard,hard_036_lr_sr.png,19.5635,0.5507,bicubic_to_hr
hard,hard_037_lr_sr.png,23.9609,0.7155,bicubic_to_hr
hard,hard_038_lr_sr.png,21.3727,0.624,bicubic_to_hr
hard,hard_039_lr_sr.png,22.8693,0.6871,bicubic_to_hr
hard,hard_040_lr_sr.png,23.0247,0.5834,bicubic_to_hr
hard,hard_041_lr_sr.png,24.1713,0.6945,bicubic_to_hr
hard,hard_042_lr_sr.png,21.6713,0.6472,bicubic_to_hr
hard,hard_043_lr_sr.png,22.6847,0.6419,bicubic_to_hr
hard,hard_044_lr_sr.png,21.468,0.6302,bicubic_to_hr
hard,hard_045_lr_sr.png,23.6906,0.6786,bicubic_to_hr
hard,hard_046_lr_sr.png,19.5088,0.5928,bicubic_to_hr
hard,hard_047_lr_sr.png,22.5512,0.6214,bicubic_to_hr
